Camara,Cargo,División,Fin,Inicio,Nombre,Partido,Periodos Poder Legislativo,Apellido_Pat,Apellido_Mat,Nombre_1,Nombre_2,Nombre_3,Nombre_4,Nombre_Naim
Diputados,Diputado Propietario,Copiapó,1873-05-31,1870-06-01,Manuel Antonio Matta Goyenechea,Partido Radical,1833-1891,Matta,Goyenechea,Manuel,Antonio,,,Manuel Antonio Matta Goyenechea
Diputados,Diputado Propietario,Copiapó,1873-05-31,1870-06-01,Pedro León Gallo Goyenechea,Partido Radical,1833-1891,Gallo,Goyenechea,Pedro,León,,,Pedro Leon Gallo Goyenechea
Diputados,Diputado Suplente,Copiapó,1873-05-31,1870-06-01,Telésforo Espiga,,1833-1891,Espiga,,Telésforo,,,,Telesforo Espiga
Diputados,Diputado Propietario,Vallenar,1873-05-31,1870-06-01,Carlos Walker Martínez,Partido Conservador,1833-1891,Walker,Martínez,Carlos,,,,Carlos Walker Martinez
Diputados,Diputado Suplente,Vallenar,1873-05-31,1870-06-01,Ramón Vial Formas,,1833-1891,Vial,Formas,Ramón,,,,Ramon Vial Formas
Diputados,Diputado Propietario,Freirina,1873-05-31,1870-06-01,Ambrosio Montt Luco,,1833-1891,Montt,Luco,Ambrosio,,,,Ambrosio Montt Luco
Diputados,Diputado Suplente,Freirina,1873-05-31,1870-06-01,Juan de Dios Arlegui Gorbea,Partido Liberal,1833-1891,Arlegui,Gorbea,Juan de Dios,,,,Juan de Dios Arlegui Gorbea
Diputados,Diputado Propietario,Caldera,1873-05-31,1870-06-01,Angel Custodio Francisco Gallo Goyenechea,Partido Radical,1833-1891,Gallo,Goyenechea,Angel,Custodio,Francisco,,Angel Custodio Francisco Gallo Goyenechea
Diputados,Diputado Suplente,Caldera,1873-05-31,1870-06-01,Cosme Campillo Ibáñez,Partido Conservador,1833-1891,Campillo,Ibáñez,Cosme,,,,Cosme Campillo Ibañez
Diputados,Diputado Propietario,La Serena,1873-05-31,1870-06-01,Maximiano Errázuriz Valdivieso,,1833-1891,Errázuriz,Valdivieso,Maximiano,,,,Maximiano Errazuriz Valdivieso
Diputados,Diputado Suplente,La Serena,1873-05-31,1870-06-01,José Antonio Larraguibel Munizaga,Partido Liberal,1833-1891,Larraguibel,Munizaga,José,Antonio,,,Jose Antonio Larraguibel Munizaga
Diputados,Diputado Propietario,Coquimbo,1873-05-31,1870-06-01,Manuel Jerónimo Urmeneta García,Partido Radical,1833-1891,Urmeneta,García,Manuel,Jerónimo,,,Manuel Jeronimo Urmeneta Garcia
Diputados,Diputado Suplente,Coquimbo,1873-05-31,1870-06-01,Pedro Nolasco Videla Hidalgo,,1833-1891,Videla,Hidalgo,Pedro,Nolasco,,,Pedro Nolasco Videla Hidalgo
Diputados,Diputado Propietario,Vicuña,1873-05-31,1870-06-01,Antonio Varas de la Barra,Partido Nacional o Monttvarista,1833-1891,Varas,de la Barra,Antonio,,,,Antonio Varas de la Barra
Diputados,Diputado Suplente,Vicuña,1873-05-31,1870-06-01,Francisco Segundo Puelma Castillo,Partido Nacional o Monttvarista,1833-1891,Puelma,Castillo,Francisco,Segundo,,,Francisco Segundo Puelma Castillo
Diputados,Diputado Propietario,Ovalle,1873-05-31,1870-06-01,Silvestre Ochagavía Errázuriz,Partido Nacional o Monttvarista,1833-1891,Ochagavía,Errázuriz,Silvestre,,,,Silvestre Ochagavia Errazuriz
Diputados,Diputado Propietario,Ovalle,1873-05-31,1870-06-01,Manuel Amunátegui Aldunate,,1833-1891,Amunátegui,Aldunate,Manuel,,,,Manuel Amunategui Aldunate
Diputados,Diputado Suplente,Ovalle,1873-05-31,1870-06-01,Samuel Izquierdo Urmeneta,,1833-1891,Izquierdo,Urmeneta,Samuel,,,,Samuel Izquierdo Urmeneta
Diputados,Diputado Propietario,Illapel,1873-05-31,1870-06-01,José Undurraga Solar,,1833-1891,Undurraga,Solar,José,,,,Jose Undurraga Solar
Diputados,Diputado Propietario,Illapel,1873-05-31,1870-06-01,José Joaquín Blest Gana,Partido Liberal,1833-1891,Blest,Gana,José,Joaquín,,,Jose Joaquin Blest Gana
Diputados,Diputado Suplente,Illapel,1873-05-31,1870-06-01,Juan José Cerda,,1833-1891,Cerda,,Juan,José,,,Juan Jose Cerda
Diputados,Diputado Propietario,Combarbalá,1873-05-31,1870-06-01,Francisco de Paula Figueroa Araoz,,1833-1891,Figueroa,Araoz,Francisco,de Paula,,,Francisco de Paula Figueroa Araoz
Diputados,Diputado Suplente,Combarbalá,1873-05-31,1870-06-01,Francisco de Paula Echaurren García Huidobro,,1833-1891,Echaurren,García Huidobro,Francisco,de Paula,,,Francisco de Paula Echaurren Garcia Huidobro
Diputados,Diputado Propietario,San Felipe,1873-05-31,1870-06-01,Domingo Santa María González,Partido Nacional o Monttvarista,1833-1891,Santa María,González,Domingo,,,,Domingo Santa Maria Gonzalez
Diputados,Diputado Suplente,San Felipe,1873-05-31,1870-06-01,José Eugenio Vergara Galeas,Partido Nacional o Monttvarista,1833-1891,Vergara,Galeas,José,Eugenio,,,Jose Eugenio Vergara Galeas
Diputados,Diputado Propietario,Los Andes,1873-05-31,1870-06-01,Francisco Javier García Huidobro Eyzaguirre,,1833-1891,García Huidobro,Eyzaguirre,Francisco,Javier,,,Francisco Javier Garcia Huidobro Eyzaguirre
Diputados,Diputado Suplente,Los Andes,1873-05-31,1870-06-01,Eulogio Allendes Álvarez de Toledo,Partido Liberal,1833-1891,Allendes,Álvarez de Toledo,Eulogio,,,,Eulogio Allendes Alvarez de Toledo
Diputados,Diputado Propietario,Putaendo,1873-05-31,1870-06-01,Miguel Elizalde Jiménez,,1833-1891,Elizalde,Jiménez,Miguel,,,,Miguel Elizalde Jimenez
Diputados,Diputado Suplente,Putaendo,1873-05-31,1870-06-01,Carlos García Huidobro Eyzaguirre,,1833-1891,García Huidobro,Eyzaguirre,Carlos,,,,Carlos Garcia Huidobro Eyzaguirre
Diputados,Diputado Propietario,La Ligua,1873-05-31,1870-06-01,Claudio Mackenna Astorga,,1833-1891,Mackenna,Astorga,Claudio,,,,Claudio Mackenna Astorga
Diputados,Diputado Suplente,La Ligua,1873-05-31,1870-06-01,Francisco Javier Ovalle Vicuña,,1833-1891,Ovalle,Vicuña,Francisco,Javier,,,Francisco Javier Ovalle Vicuña
Diputados,Diputado Propietario,Petorca,1873-05-31,1870-06-01,Ramón Cerda Concha,Partido Nacional o Monttvarista,1833-1891,Cerda,Concha,Ramón,,,,Ramon Cerda Concha
Diputados,Diputado Propietario,Petorca,1873-05-31,1870-06-01,Ruperto Ovalle Vicuña,,1833-1891,Ovalle,Vicuña,Ruperto,,,,Ruperto Ovalle Vicuña
Diputados,Diputado Propietario,Petorca,1873-05-31,1870-06-01,Pablo Flores,,1833-1891,Flores,,Pablo,,,,Pablo Flores
Diputados,Diputado Propietario,Petorca,1873-05-31,1870-06-01,Ambrosio Montt Luco,,1833-1891,Montt,Luco,Ambrosio,,,,Ambrosio Montt Luco
Diputados,Diputado Propietario,Petorca,1873-05-31,1870-06-01,Ramón Cerda Concha,Partido Nacional o Monttvarista,1833-1891,Cerda,Concha,Ramón,,,,Ramon Cerda Concha
Diputados,Diputado Suplente,Petorca,1873-05-31,1870-06-01,Miguel Cruchaga Montt,,1833-1891,Cruchaga,Montt,Miguel,,,,Miguel Cruchaga Montt
Diputados,Diputado Suplente,Petorca,1873-05-31,1870-06-01,José Antonio Soffia Argomedo,,1833-1891,Soffia,Argomedo,José,Antonio,,,Jose Antonio Soffia Argomedo
Diputados,Diputado Propietario,Valparaíso,1873-05-31,1870-06-01,José Ramón Sánchez Montes,Partido Liberal,1833-1891,Sánchez,Montes,José,Ramón,,,Jose Ramon Sanchez Montes
Diputados,Diputado Propietario,Valparaíso,1873-05-31,1870-06-01,Melchor De Santiago Concha y Cerda,Partido Liberal,1833-1891,Concha,y Cerda,Melchor,de Santiago,,,Melchor De Santiago Concha y Cerda
Diputados,Diputado Propietario,Valparaíso,1873-05-31,1870-06-01,Marcial González Ibieta,,1833-1891,González,Ibieta,Marcial,,,,Marcial Gonzalez Ibieta
Diputados,Diputado Propietario,Valparaíso,1873-05-31,1870-06-01,José Joaquín Laso Castillo,Partido Liberal,1833-1891,Laso,Castillo,José,Joaquín,,,Jose Joaquin Laso Castillo
Diputados,Diputado Suplente,Valparaíso,1873-05-31,1870-06-01,Camilo Enrique Cobo Gutiérrez,Partido Liberal,1833-1891,Cobo,Gutiérrez,Camilo,Enrique,,,Camilo Enrique Cobo Gutierrez
Diputados,Diputado Suplente,Valparaíso,1873-05-31,1870-06-01,Leonardo A. Dodds,,1833-1891,Dodds,,Leonardo,A.,,,Leonardo A. Dodds
Diputados,Diputado Propietario,Quillota,1873-05-31,1870-06-01,José Victorino Lastarria Santander,Partido Liberal,1833-1891,Lastarria,Santander,José,Victorino,,,Jose Victorino Lastarria Santander
Diputados,Diputado Suplente,Quillota,1873-05-31,1870-06-01,Manuel Jerónimo Urmeneta García,,1833-1891,Urmeneta,García,Manuel,Jerónimo,,,Manuel Jeronimo Urmeneta Garcia
Diputados,Diputado Propietario,Limache,1873-05-31,1870-06-01,Francisco de Paula Echaurren García Huidobro,,1833-1891,Echaurren,García Huidobro,Francisco,de Paula,,,Francisco de Paula Echaurren Garcia Huidobro
Diputados,Diputado Suplente,Limache,1873-05-31,1870-06-01,José Luis Borgoño Vergara,Partido Liberal,1833-1891,Borgoño,Vergara,José,Luis,,,Jose Luis Borgoño Vergara
Diputados,Diputado Propietario,Casablanca,1873-05-31,1870-06-01,José Ignacio Amor Prado,,1833-1891,Amor,Prado,José,Ignacio,,,Jose Ignacio Amor Prado
Diputados,Diputado Suplente,Casablanca,1873-05-31,1870-06-01,Manuel Antonio Hurtado de Mendoza y Jaraquemada,,1833-1891,Hurtado de Mendoza,y Jaraquemada,Manuel,Antonio,,,Manuel Antonio Hurtado de Mendoza y Jaraquemada
Diputados,Diputado Propietario,Santiago,1873-05-31,1870-06-01,Miguel Luis Amunátegui Aldunate,Partido Liberal,1833-1891,Amunátegui,Aldunate,Miguel,Luis,,,Miguel Luis Amunategui Aldunate
Diputados,Diputado Propietario,Santiago,1873-05-31,1870-06-01,Luis Cousiño Squella,Partido Liberal,1833-1891,Cousiño,Squella,Luis,,,,Luis Cousiño Squella
Diputados,Diputado Propietario,Santiago,1873-05-31,1870-06-01,Ricardo Ovalle Errázuriz,,1833-1891,Ovalle,Errázuriz,Ricardo,,,,Ricardo Ovalle Errazuriz
Diputados,Diputado Propietario,Santiago,1873-05-31,1870-06-01,Francisco Baeza Sotomayor,,1833-1891,Baeza,Sotomayor,Francisco,,,,Francisco Baeza Sotomayor
Diputados,Diputado Propietario,Santiago,1873-05-31,1870-06-01,Juan de Dios Morandé Portales,Partido Conservador,1833-1891,Morandé,Portales,Juan de Dios,,,,Juan de Dios Morande Portales
Diputados,Diputado Propietario,Santiago,1873-05-31,1870-06-01,Vicente Izquierdo Urmeneta,,1833-1891,Izquierdo,Urmeneta,Vicente,,,,Vicente Izquierdo Urmeneta
Diputados,Diputado Propietario,Santiago,1873-05-31,1870-06-01,Manuel Rengifo Vial,,1833-1891,Rengifo,Vial,Manuel,,,,Manuel Rengifo Vial
Diputados,Diputado Propietario,Santiago,1873-05-31,1870-06-01,Manuel José Irarrázaval Larraín,Partido Conservador,1833-1891,Irarrázaval,Larraín,Manuel,José,,,Manuel Jose Irarrazaval Larrain
Diputados,Diputado Suplente,Santiago,1873-05-31,1870-06-01,Ramón Valdés Lecaros,,1833-1891,Valdés,Lecaros,Ramón,,,,Ramon Valdes Lecaros
Diputados,Diputado Suplente,Santiago,1873-05-31,1870-06-01,Pedro Nolasco Vial Guzmán,,1833-1891,Vial,Guzmán,Pedro,Nolasco,,,Pedro Nolasco Vial Guzman
Diputados,Diputado Suplente,Santiago,1873-05-31,1870-06-01,Buenaventura Infante Valero,,1833-1891,Infante,Valero,Buenaventura,,,,Buenaventura Infante Valero
Diputados,Diputado Suplente,Santiago,1873-05-31,1870-06-01,Manuel Antonio Briceño Ibáñez,Partido Liberal,1833-1891,Briceño,Ibáñez,Manuel,Antonio,,,Manuel Antonio Briceño Ibañez
Diputados,Diputado Propietario,La Victoria,1873-05-31,1870-06-01,Eugenio Figueroa Larraín,,1833-1891,Figueroa,Larraín,Eugenio,,,,Eugenio Figueroa Larrain
Diputados,Diputado Propietario,La Victoria,1873-05-31,1870-06-01,Miguel Zumarán Ramírez de Arellano,,1833-1891,Zumarán,Ramírez de Arellano,Miguel,,,,Miguel Zumaran Ramirez de Arellano
Diputados,Diputado Suplente,La Victoria,1873-05-31,1870-06-01,Fernando Márquez de la Plata Guzmán,,1833-1891,Márquez de la Plata,Guzmán,Fernando,,,,Fernando Marquez de la Plata Guzman
Diputados,Diputado Propietario,Rancagua,1873-05-31,1870-06-01,Nicomedes Ossa Cerda,Partido Conservador,1833-1891,Ossa,Cerda,Nicomedes,,,,Nicomedes Ossa Cerda
Diputados,Diputado Propietario,Rancagua,1873-05-31,1870-06-01,Rafael Fernández Concha,,1833-1891,Fernández,Concha,Rafael,,,,Rafael Fernandez Concha
Diputados,Diputado Propietario,Rancagua,1873-05-31,1870-06-01,Rafael Correa y Toro,Partido Conservador,1833-1891,Correa,y Toro,Rafael,,,,Rafael Correa y Toro
Diputados,Diputado Propietario,Rancagua,1873-05-31,1870-06-01,Abdón Cifuentes Espinosa,Partido Conservador,1833-1891,Cifuentes,Espinosa,Abdón,,,,Abdon Cifuentes Espinosa
Diputados,Diputado Propietario,Rancagua,1873-05-31,1870-06-01,Francisco de Borja Larraín Gandarillas,Partido Conservador,1833-1891,Larraín,Gandarillas,Francisco,de Borja,,,Francisco de Borja Larrain Gandarillas
Diputados,Diputado Suplente,Rancagua,1873-05-31,1870-06-01,Enrique Del Solar Marín,,1833-1891,Del Solar,Marín,Enrique,,,,Enrique Del Solar Marin
Diputados,Diputado Suplente,Rancagua,1873-05-31,1870-06-01,Pedro Jesús Rodríguez,,1833-1891,Rodríguez,,Pedro,Jesus,,,Pedro Jesus Rodriguez
Diputados,Diputado Suplente,Rancagua,1873-05-31,1870-06-01,Zócimo Errázuriz Valdivieso,,1833-1891,Errázuriz,Valdivieso,Zócimo,,,,Zocimo Errazuriz Valdivieso
Diputados,Diputado Propietario,Melipilla,1873-05-31,1870-06-01,Enrique Cood Ross,,1833-1891,Cood,Ross,Enrique,,,,Enrique Cood Ross
Diputados,Diputado Suplente,Melipilla,1873-05-31,1870-06-01,Ladislao Barros Morán,,1833-1891,Barros,Morán,Ladislao,,,,Ladislao Barros Moran
Diputados,Diputado Propietario,San Fernando,1873-05-31,1870-06-01,Diego Jacinto Agustín Barros Arana,Partido Liberal,1833-1891,Barros,Arana,Diego,Jacinto,Agustín,,Diego Jacinto Agustin Barros Arana
Diputados,Diputado Propietario,San Fernando,1873-05-31,1870-06-01,Enrique Tocornal Grez,Partido Conservador,1833-1891,Tocornal,Grez,Enrique,,,,Enrique Tocornal Grez
Diputados,Diputado Propietario,San Fernando,1873-05-31,1870-06-01,José Francisco Echaurren Larraín,,1833-1891,Echaurren,Larraín,José,Francisco,,,Jose Francisco Echaurren Larrain
Diputados,Diputado Propietario,San Fernando,1873-05-31,1870-06-01,Alberto Blest Gana,,1833-1891,Blest,Gana,Alberto,,,,Alberto Blest Gana
Diputados,Diputado Suplente,San Fernando,1873-05-31,1870-06-01,Osvaldo Rengifo Vial,Partido Liberal,1833-1891,Rengifo,Vial,Osvaldo,,,,Osvaldo Rengifo Vial
Diputados,Diputado Suplente,San Fernando,1873-05-31,1870-06-01,Marcos Orrego Garmendia,,1833-1891,Orrego,Garmendia,Marcos,,,,Marcos Orrego Garmendia
Diputados,Diputado Propietario,Curicó,1873-05-31,1870-06-01,José Tomás Besa Infantas,Partido Nacional o Monttvarista,1833-1891,Besa,Infantas,José,Tomás,,,Jose Tomas Besa Infantas
Diputados,Diputado Propietario,Curicó,1873-05-31,1870-06-01,Gabriel Vidal Rodríguez,Partido Liberal,1833-1891,Vidal,Rodríguez,Gabriel,,,,Gabriel Vidal Rodriguez
Diputados,Diputado Propietario,Curicó,1873-05-31,1870-06-01,Ramón Barros Luco,Partido Liberal,1833-1891,Barros,Luco,Ramón,,,,Ramon Barros Luco
Diputados,Diputado Propietario,Curicó,1873-05-31,1870-06-01,Miguel Cruchaga Montt,,1833-1891,Cruchaga,Montt,Miguel,,,,Miguel Cruchaga Montt
Diputados,Diputado Propietario,Curicó,1873-05-31,1870-06-01,Miguel Castillo Andueza,,1833-1891,Castillo,Andueza,Miguel,,,,Miguel Castillo Andueza
Diputados,Diputado Suplente,Curicó,1873-05-31,1870-06-01,Enrique Del Solar Marín,,1833-1891,Del Solar,Marín,Enrique,,,,Enrique Del Solar Marin
Diputados,Diputado Suplente,Curicó,1873-05-31,1870-06-01,Filidor Rodríguez Ruiz,,1833-1891,Rodríguez,Ruiz,Filidor,,,,Filidor Rodriguez Ruiz
Diputados,Diputado Suplente,Curicó,1873-05-31,1870-06-01,Marcial Martínez Cuadros,,1833-1891,Martínez,Cuadros,Marcial,,,,Marcial Martinez Cuadros
Diputados,Diputado Propietario,Caupolicán,1873-05-31,1870-06-01,José Francisco Echenique Tagle,,1833-1891,Echenique,Tagle,José,Francisco,,,Jose Francisco Echenique Tagle
Diputados,Diputado Propietario,Caupolicán,1873-05-31,1870-06-01,José Ciriaco Valenzuela Laguillos,Partido Conservador,1833-1891,Valenzuela,Languillos,José,Ciriaco,,,Jose Ciriaco Valenzuela Laguillos
Diputados,Diputado Propietario,Caupolicán,1873-05-31,1870-06-01,Manuel Valdés Vigil,Partido Liberal,1833-1891,Valdés,Vigil,Manuel,,,,Manuel Valdes Vigil
Diputados,Diputado Propietario,Caupolicán,1873-05-31,1870-06-01,Fernando Urízar Garfias,Partido Liberal,1833-1891,Urízar,Garfias,Fernando,,,,Fernando Urizar Garfias
Diputados,Diputado Suplente,Caupolicán,1873-05-31,1870-06-01,Ignacio Vicuña Guerrero,,1833-1891,Vicuña,Guerrero,Ignacio,,,,Ignacio Vicuña Guerrero
Diputados,Diputado Suplente,Caupolicán,1873-05-31,1870-06-01,Pedro Nolasco Saavedra Jiménez,,1833-1891,Saavedra,Jiménez,Pedro,Nolasco,,,Pedro Nolasco Saavedra Jimenez
Diputados,Diputado Propietario,Vichuquén,1873-05-31,1870-06-01,Pedro Pablo Olea Arangua,Partido Conservador,1833-1891,Olea,Arangua,Pedro,Pablo,,,Pedro Pablo Olea Arangua
Diputados,Diputado Propietario,Vichuquén,1873-05-31,1870-06-01,Diego Antonio Tagle Echeverría,,1833-1891,Tagle,Echeverría,Diego,Antonio,,,Diego Antonio Tagle Echeverria
Diputados,Diputado Suplente,Vichuquén,1873-05-31,1870-06-01,Bernardo Irarrázaval Vera,,1833-1891,Irarrázaval,Vera,Bernardo,,,,Bernardo Irarrazaval Vera
Diputados,Diputado Propietario,Talca,1873-05-31,1870-06-01,Pedro Vicente Reyes Palazuelos,Partido Liberal,1833-1891,Reyes,Palazuelos,Pedro,Vicente,,,Pedro Vicente Reyes Palazuelos
Diputados,Diputado Propietario,Talca,1873-05-31,1870-06-01,Juan Domingo Arteaga Alemparte,Partido Liberal,1833-1891,Arteaga,Alemparte,Juan,Domingo,,,Juan Domingo Arteaga Alemparte
Diputados,Diputado Propietario,Talca,1873-05-31,1870-06-01,Aniceto Vergara Albano,Partido Liberal,1833-1891,Vergara,Albano,Aniceto,,,,Aniceto Vergara Albano
Diputados,Diputado Propietario,Talca,1873-05-31,1870-06-01,Manuel Antonio Matta Goyenechea,Partido Radical,1833-1891,Matta,Goyenechea,Manuel,Antonio,,,Manuel Antonio Matta Goyenechea
Diputados,Diputado Suplente,Talca,1873-05-31,1870-06-01,Ignacio Zenteno Gana,,1833-1891,Zenteno,Gana,Ignacio,,,,Ignacio Zenteno Gana
Diputados,Diputado Suplente,Talca,1873-05-31,1870-06-01,Isidoro Errázuriz Errázuriz,Partido Liberal,1833-1891,Errázuriz,Errázuriz,Isidoro,,,,Isidoro Errazuriz Errazuriz
Diputados,Diputado Propietario,Lontué,1873-05-31,1870-06-01,José Manuel Encina Echeverría,Partido Liberal,1833-1891,Encina,Echeverría,José,Manuel,,,Jose Manuel Encina Echeverria
Diputados,Diputado Suplente,Lontué,1873-05-31,1870-06-01,Juan Francisco Larraín Gandarillas,,1833-1891,Larraín,Gandarillas,Juan,Francisco,,,Juan Francisco Larrain Gandarillas
Diputados,Diputado Propietario,Cauquenes,1873-05-31,1870-06-01,Marcial Martínez Cuadros,,1833-1891,Martínez,Cuadros,Marcial,,,,Marcial Martinez Cuadros
Diputados,Diputado Propietario,Cauquenes,1873-05-31,1870-06-01,José Eugenio Vergara Galeas,Partido Nacional o Monttvarista,1833-1891,Vergara,Galeas,José,Eugenio,,,Jose Eugenio Vergara Galeas
Diputados,Diputado Propietario,Cauquenes,1873-05-31,1870-06-01,Domingo Urrutia Flores,,1833-1891,Urrutia,Flores,Domingo,,,,Domingo Urrutia Flores
Diputados,Diputado Propietario,Cauquenes,1873-05-31,1870-06-01,Antonio Varas de la Barra,Partido Nacional o Monttvarista,1833-1891,Varas,de la Barra,Antonio,,,,Antonio Varas de la Barra
Diputados,Diputado Propietario,Cauquenes,1873-05-31,1870-06-01,Isidoro Errázuriz Errázuriz,Partido Liberal,1833-1891,Errázuriz,Errázuriz,Isidoro,,,,Isidoro Errazuriz Errazuriz
Diputados,Diputado Suplente,Cauquenes,1873-05-31,1870-06-01,Juan Agustín Palazuelos Ramírez,Partido Radical,1833-1891,Palazuelos,Ramírez,Juan,Agustín,,,Juan Agustin Palazuelos Ramirez
Diputados,Diputado Suplente,Cauquenes,1873-05-31,1870-06-01,Juan Nepomuceno Espejo Bravo,Partido Liberal,1833-1891,Espejo,Bravo,Juan,Nepomuceno,,,Juan Nepomuceno Espejo Bravo
Diputados,Diputado Suplente,Cauquenes,1873-05-31,1870-06-01,Evaristo Del Campo Madariaga,,1833-1891,Del Campo,Madariaga,Evaristo,,,,Evaristo Del Campo Madariaga
Diputados,Diputado Propietario,Constitución,1873-05-31,1870-06-01,Antonio Subercaseaux Vicuña,Partido Conservador,1833-1891,Subercaseaux,Vicuña,Antonio,,,,Antonio Subercaseaux Vicuña
Diputados,Diputado Suplente,Constitución,1873-05-31,1870-06-01,Juan Atanasio Rodríguez Rodríguez,,1833-1891,Rodríguez,Rodríguez,Juan,Atanasio,,,Juan Atanasio Rodriguez Rodriguez
Diputados,Diputado Propietario,Linares,1873-05-31,1870-06-01,José Luis Donoso Cienfuegos,Partido Nacional o Monttvarista,1833-1891,Donoso,Cienfuegos,José,Luis,,,Jose Luis Donoso Cienfuegos
Diputados,Diputado Propietario,Linares,1873-05-31,1870-06-01,Francisco Prado Aldunate,,1833-1891,Prado,Aldunate,Francisco,,,,Francisco Prado Aldunate
Diputados,Diputado Propietario,Linares,1873-05-31,1870-06-01,José Luis Tocornal Jordán,,1833-1891,Tocornal,Jordán,José,Luis,,,Jose Luis Tocornal Jordan
Diputados,Diputado Propietario,Linares,1873-05-31,1870-06-01,Pedro Lucio Cuadra Luque,Partido Liberal,1833-1891,Cuadra,Luque,Pedro,Lucio,,,Pedro Lucio Cuadra Luque
Diputados,Diputado Propietario,Linares,1873-05-31,1870-06-01,Jovino Novoa Vidal,Partido Liberal,1833-1891,Novoa,Vidal,Jovino,,,,Jovino Novoa Vidal
Diputados,Diputado Propietario,Linares,1873-05-31,1870-06-01,Blas Encinas,,1833-1891,Encinas,,Blas,,,,Blas Encinas
Diputados,Diputado Suplente,Linares,1873-05-31,1870-06-01,Manuel Salustio Fernández Pradel,Partido Liberal,1833-1891,Fernández,Pradel,Manuel,Salustio,,,Manuel Salustio Fernandez Pradel
Diputados,Diputado Suplente,Linares,1873-05-31,1870-06-01,Guillermo Matta Goyenechea,Partido Radical,1833-1891,Matta,Goyenechea,Guillermo,,,,Guillermo Matta Goyenechea
Diputados,Diputado Suplente,Linares,1873-05-31,1870-06-01,José Luis Jordán Tocornal,,1833-1891,Jordán,Tocornal,José,Luis,,,Jose Luis Jordan Tocornal
Diputados,Diputado Suplente,Linares,1873-05-31,1870-06-01,Belisario Henríquez Ovando,,1833-1891,Henríquez,Ovando,Belisario,,,,Belisario Henriquez Ovando
Diputados,Diputado Propietario,Itata,1873-05-31,1870-06-01,Nicolás Figueroa Brito,,1833-1891,Figueroa,Brito,Nicolás,,,,Nicolas Figueroa Brito
Diputados,Diputado Propietario,Itata,1873-05-31,1870-06-01,Antonio Soto Jarpa,,1833-1891,Soto,Jarpa,Antonio,,,,Antonio Soto Jarpa
Diputados,Diputado Suplente,Itata,1873-05-31,1870-06-01,Juan de Dios Cisternas Moraga,,1833-1891,Cisternas,Moraga,Juan de Dios,,,,Juan de Dios Cisternas Moraga
Diputados,Diputado Propietario,Parral,1873-05-31,1870-06-01,Cesáreo Valdés Ortúzar,,1833-1891,Valdés,Ortúzar,Cesáreo,,,,Cesareo Valdes Ortuzar
Diputados,Diputado Suplente,Parral,1873-05-31,1870-06-01,Carlos Morla Vicuña,,1833-1891,Morla,Vicuña,Carlos,,,,Carlos Morla Vicuña
Diputados,Diputado Propietario,Chillán,1873-05-31,1870-06-01,José Joaquín Blest Gana,,1833-1891,Blest,Gana,José,Joaquín,,,Jose Joaquin Blest Gana
Diputados,Diputado Propietario,Chillán,1873-05-31,1870-06-01,Domingo Atanasio Fernández Concha,Partido Conservador,1833-1891,Fernández,Concha,Domingo,Atanasio,,,Domingo Atanasio Fernandez Concha
Diputados,Diputado Propietario,Chillán,1873-05-31,1870-06-01,Zorobabel Rodríguez Benavides,Partido Conservador,1833-1891,Rodríguez,Benavides,Zorobabel,,,,Zorobabel Rodriguez Benavides
Diputados,Diputado Propietario,Chillán,1873-05-31,1870-06-01,Camilo Enrique Cobo Gutiérrez,Partido Liberal,1833-1891,Cobo,Gutiérrez,Camilo,Enrique,,,Camilo Enrique Cobo Gutierrez
Diputados,Diputado Suplente,Chillán,1873-05-31,1870-06-01,Pedro Pablo Ortiz Vera,,1833-1891,Ortiz,Vera,Pedro,Pablo,,,Pedro Pablo Ortiz Vera
Diputados,Diputado Suplente,Chillán,1873-05-31,1870-06-01,Francisco Javier Reyes Cotapos,,1833-1891,Reyes,Cotapos,Francisco,Javier,,,Francisco Javier Reyes Cotapos
Diputados,Diputado Propietario,San Carlos,1873-05-31,1870-06-01,Francisco Segundo Puelma Castillo,Partido Nacional o Monttvarista,1833-1891,Puelma,Castillo,Francisco,Segundo,,,Francisco Segundo Puelma Castillo
Diputados,Diputado Propietario,San Carlos,1873-05-31,1870-06-01,José Victorino Lastarria Santander,Partido Liberal,1833-1891,Lastarria,Santander,José,Victorino,,,Jose Victorino Lastarria Santander
Diputados,Diputado Suplente,San Carlos,1873-05-31,1870-06-01,Luis Martiniano Rodríguez Herrera,,1833-1891,Rodríguez,Herrera,Luis,Martiniano,,,Luis Martiniano Rodriguez Herrera
Diputados,Diputado Propietario,Concepción y Talcahuano,1873-05-31,1870-06-01,Víctor Lamas Miranda,,1833-1891,Lamas,Miranda,Víctor,,,,Victor Lamas Miranda
Diputados,Diputado Suplente,Concepción y Talcahuano,1873-05-31,1870-06-01,Francisco Smith Azúa,,1833-1891,Smith,Azúa,Francisco,,,,Francisco Smith Azua
Diputados,Diputado Propietario,Lautaro,1873-05-31,1870-06-01,Jorge Segundo Rojas Miranda,,1833-1891,Rojas,Miranda,Jorge,Segundo,,,Jorge Segundo Rojas Miranda
Diputados,Diputado Suplente,Lautaro,1873-05-31,1870-06-01,Emilio Bello Codesido,,1833-1891,Bello,Codesido,Emilio,,,,Emilio Bello Codesido
